epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.9,3.53498,6.31732,1.62347,0.00052,0.14899,0.0003,0.0001,3.22863,inf,1.29339,0.000660131,0.000660131,0.000660131
2,233.063,2.82257,2.57324,1.28636,0.39212,0.42677,0.29902,0.07607,2.91971,4.65776,1.27835,0.00131366,0.00131366,0.00131366
3,353.671,2.71624,2.44334,1.25288,0.01699,0.4596,0.01008,0.00212,3.4358,47.404,1.45882,0.00195399,0.00195399,0.00195399
4,474.137,2.62914,2.32805,1.23232,0.53838,0.56252,0.46063,0.14227,2.60395,1.93104,1.10288,0.0019406,0.0019406,0.0019406
5,595.782,2.61098,2.1785,1.21473,0.53066,0.40909,0.34235,0.10005,2.60439,1.98775,1.08576,0.0019208,0.0019208,0.0019208
6,716.415,2.52438,2.12653,1.18542,0.63729,0.61009,0.60222,0.21376,2.35342,1.54654,1.0136,0.001901,0.001901,0.001901
7,837.444,2.52191,2.09138,1.18841,0.70177,0.72198,0.688,0.22675,2.29962,1.61425,1.00986,0.0018812,0.0018812,0.0018812
8,957.708,2.40966,1.90254,1.15134,0.77119,0.72771,0.76291,0.28229,2.2141,1.41874,0.98395,0.0018614,0.0018614,0.0018614
9,1078.86,2.4417,1.93131,1.16096,0.73846,0.67803,0.69432,0.18808,2.77795,1.71058,1.13581,0.0018416,0.0018416,0.0018416
10,1199.46,2.39564,1.84491,1.14063,0.79798,0.71338,0.77104,0.29157,2.20444,1.41952,0.99841,0.0018218,0.0018218,0.0018218
11,1319.97,2.33491,1.81076,1.13479,0.84113,0.74203,0.78761,0.21814,2.61874,1.41094,1.08441,0.001802,0.001802,0.001802
12,1439.97,2.33793,1.77969,1.12964,0.7597,0.69854,0.74229,0.30437,2.13549,1.35734,0.95428,0.0017822,0.0017822,0.0017822
13,1560.72,2.32227,1.75805,1.12988,0.79683,0.69822,0.76334,0.28781,2.20053,1.44027,1.00296,0.0017624,0.0017624,0.0017624
14,1680.51,2.29551,1.73061,1.12667,0.83625,0.76086,0.84099,0.304,2.18646,1.37826,0.98191,0.0017426,0.0017426,0.0017426
15,1805.21,2.27497,1.64829,1.11074,0.83485,0.77231,0.79606,0.30049,2.20778,1.32139,0.98875,0.0017228,0.0017228,0.0017228
16,1934.92,2.24529,1.68081,1.09988,0.79278,0.64728,0.65671,0.15822,2.97564,1.74074,1.20904,0.001703,0.001703,0.001703
17,2064.62,2.2142,1.61475,1.0925,0.87417,0.75884,0.82034,0.22755,2.69246,1.36111,1.07309,0.0016832,0.0016832,0.0016832
18,2195.18,2.23589,1.64461,1.08697,0.83697,0.81028,0.86284,0.37936,1.97727,1.20908,0.92743,0.0016634,0.0016634,0.0016634
19,2325.83,2.2121,1.56296,1.08188,0.82913,0.75972,0.82659,0.33811,2.04172,1.26068,0.93752,0.0016436,0.0016436,0.0016436
20,2455.08,2.20505,1.57085,1.07377,0.85451,0.79798,0.83754,0.32139,2.21911,1.23656,0.96771,0.0016238,0.0016238,0.0016238
21,2585.03,2.20151,1.58292,1.07921,0.86038,0.77778,0.82934,0.34562,2.06477,1.199,0.95222,0.001604,0.001604,0.001604
22,2714.56,2.14753,1.54856,1.06288,0.85587,0.82197,0.86829,0.39664,1.8445,1.09559,0.90873,0.0015842,0.0015842,0.0015842
23,2841.22,2.16072,1.53116,1.06132,0.85569,0.82356,0.85799,0.30108,2.25101,1.22795,0.9785,0.0015644,0.0015644,0.0015644
24,2962.62,2.12725,1.51583,1.05716,0.84674,0.84405,0.88726,0.32947,2.20239,1.16875,0.96027,0.0015446,0.0015446,0.0015446
25,3083.34,2.09937,1.45956,1.05505,0.86282,0.84183,0.88072,0.3165,2.18939,1.11895,0.96905,0.0015248,0.0015248,0.0015248
26,3203.14,2.12701,1.4656,1.05414,0.87792,0.84217,0.87339,0.29079,2.26744,1.16571,0.98339,0.001505,0.001505,0.001505
27,3323.44,2.13915,1.46153,1.05333,0.86934,0.80177,0.87949,0.39704,1.88262,1.07931,0.92127,0.0014852,0.0014852,0.0014852
28,3443.71,2.10206,1.42569,1.04456,0.85937,0.83333,0.87066,0.28968,2.26712,1.20102,0.9769,0.0014654,0.0014654,0.0014654
29,3564.31,2.11453,1.43321,1.04972,0.87441,0.8346,0.86641,0.28624,2.38041,1.24544,0.99912,0.0014456,0.0014456,0.0014456
30,3683.89,2.07733,1.43734,1.03971,0.85062,0.8268,0.88484,0.36109,1.97044,1.09924,0.927,0.0014258,0.0014258,0.0014258
31,3804.29,2.04903,1.42689,1.03563,0.857,0.83207,0.88151,0.4273,1.79446,1.03415,0.89959,0.001406,0.001406,0.001406
32,3924.81,2.05195,1.38946,1.02961,0.87666,0.86155,0.89542,0.30394,2.25973,1.1342,0.97206,0.0013862,0.0013862,0.0013862
33,4044.84,2.04187,1.39196,1.02639,0.82006,0.83437,0.85109,0.33913,2.00408,1.10376,0.94444,0.0013664,0.0013664,0.0013664
34,4164.87,2.03319,1.39225,1.03313,0.86343,0.86616,0.87605,0.3753,1.97106,1.10738,0.92732,0.0013466,0.0013466,0.0013466
35,4285.23,2.01842,1.36042,1.01736,0.85882,0.86237,0.90509,0.42184,1.78266,1.00638,0.8994,0.0013268,0.0013268,0.0013268
36,4405.86,2.02869,1.37153,1.03219,0.86128,0.87374,0.90407,0.39839,1.81177,1.03046,0.89912,0.001307,0.001307,0.001307
37,4526.3,2.01425,1.35788,1.0209,0.85207,0.87626,0.91124,0.38866,1.93619,1.08483,0.92659,0.0012872,0.0012872,0.0012872
38,4646,1.9888,1.31688,1.02136,0.85944,0.88636,0.91627,0.40543,1.90519,0.98306,0.90964,0.0012674,0.0012674,0.0012674
39,4766.99,1.98228,1.31846,1.01165,0.87372,0.86869,0.90504,0.36152,1.98448,1.00774,0.9243,0.0012476,0.0012476,0.0012476
40,4887.85,1.98705,1.31558,1.01665,0.85857,0.89679,0.90685,0.44327,1.73629,0.94798,0.89056,0.0012278,0.0012278,0.0012278
41,5008.41,1.9713,1.30605,1.00844,0.89552,0.86576,0.90848,0.33669,2.10971,1.01706,0.94135,0.001208,0.001208,0.001208
42,5129.27,1.99426,1.32952,1.01404,0.89071,0.87374,0.91733,0.49875,1.5447,0.92465,0.86633,0.0011882,0.0011882,0.0011882
43,5249.93,1.94594,1.30977,1.0063,0.86794,0.8796,0.91209,0.39231,2.02422,1.03155,0.92679,0.0011684,0.0011684,0.0011684
44,5372.04,1.97406,1.29986,1.0161,0.86059,0.87299,0.90775,0.43265,1.74227,0.95063,0.88893,0.0011486,0.0011486,0.0011486
45,5502.77,1.94839,1.27124,0.99764,0.85211,0.8851,0.90824,0.47179,1.61139,0.92612,0.86315,0.0011288,0.0011288,0.0011288
46,5633.72,1.9347,1.29006,1.002,0.87546,0.86237,0.90622,0.45779,1.74592,0.93361,0.88648,0.001109,0.001109,0.001109
47,5763.52,1.93304,1.25635,0.99934,0.84915,0.9053,0.92328,0.43573,1.82947,0.93623,0.90283,0.0010892,0.0010892,0.0010892
48,5894.44,1.90542,1.2596,1.00158,0.88561,0.87982,0.9145,0.46718,1.60872,0.91144,0.86819,0.0010694,0.0010694,0.0010694
49,6024.75,1.91114,1.25252,1.00162,0.8757,0.86285,0.91478,0.44832,1.77022,0.94392,0.8888,0.0010496,0.0010496,0.0010496
50,6156.1,1.91851,1.25431,0.99978,0.88076,0.85985,0.90863,0.499,1.53247,0.91724,0.85912,0.0010298,0.0010298,0.0010298
51,6287.04,1.90552,1.26117,0.99414,0.86774,0.86364,0.90586,0.45311,1.69383,0.95813,0.88259,0.00101,0.00101,0.00101
52,6416.29,1.89299,1.26066,0.98708,0.85673,0.88384,0.91846,0.48916,1.58871,0.89061,0.86453,0.0009902,0.0009902,0.0009902
53,6539.29,1.87924,1.22473,0.99203,0.89005,0.85857,0.91753,0.38735,1.90975,1.0154,0.9171,0.0009704,0.0009704,0.0009704
54,6661.2,1.8763,1.2229,0.99437,0.8716,0.87425,0.91714,0.49094,1.64973,0.87419,0.87552,0.0009506,0.0009506,0.0009506
55,6781.88,1.86219,1.22328,0.98884,0.87585,0.88183,0.90552,0.45673,1.63805,0.90007,0.87556,0.0009308,0.0009308,0.0009308
56,6903.53,1.85213,1.20871,0.97962,0.8826,0.8828,0.91097,0.46657,1.60471,0.89658,0.86813,0.000911,0.000911,0.000911
57,7025.27,1.84826,1.21712,0.98082,0.8967,0.86586,0.92119,0.4825,1.61502,0.89633,0.86119,0.0008912,0.0008912,0.0008912
58,7147.25,1.84041,1.20178,0.98514,0.88583,0.89152,0.92623,0.48683,1.56768,0.85936,0.85987,0.0008714,0.0008714,0.0008714
59,7268.29,1.84822,1.22498,0.97929,0.89075,0.87504,0.92639,0.47947,1.63807,0.90333,0.87267,0.0008516,0.0008516,0.0008516
60,7390.03,1.81753,1.19608,0.98117,0.87317,0.87794,0.91857,0.49934,1.5626,0.871,0.85908,0.0008318,0.0008318,0.0008318
61,7511.79,1.82944,1.18429,0.97441,0.88829,0.86341,0.92211,0.48774,1.63475,0.88527,0.86303,0.000812,0.000812,0.000812
62,7633.41,1.81215,1.17665,0.97092,0.88589,0.90152,0.93997,0.51916,1.51032,0.83236,0.85132,0.0007922,0.0007922,0.0007922
63,7755.07,1.80765,1.17747,0.97836,0.87527,0.88889,0.92636,0.50285,1.54918,0.83524,0.85368,0.0007724,0.0007724,0.0007724
64,7877.87,1.82934,1.18232,0.98431,0.86115,0.89269,0.92818,0.45416,1.72413,0.88513,0.88191,0.0007526,0.0007526,0.0007526
65,7999.24,1.81066,1.14337,0.974,0.87313,0.89773,0.93022,0.50421,1.52175,0.84651,0.85575,0.0007328,0.0007328,0.0007328
66,8120.6,1.79122,1.16426,0.97509,0.86553,0.8952,0.9271,0.48206,1.59479,0.87789,0.87036,0.000713,0.000713,0.000713
67,8241.7,1.78667,1.14447,0.96758,0.87288,0.89268,0.92707,0.48026,1.60727,0.84991,0.86243,0.0006932,0.0006932,0.0006932
68,8363.36,1.78847,1.16235,0.96913,0.85683,0.89923,0.91911,0.46263,1.6398,0.86581,0.86328,0.0006734,0.0006734,0.0006734
69,8483.99,1.76796,1.14141,0.96966,0.87398,0.90152,0.93021,0.47759,1.63744,0.84503,0.87275,0.0006536,0.0006536,0.0006536
70,8605.74,1.7559,1.13121,0.96585,0.86081,0.89773,0.92718,0.49093,1.57626,0.84579,0.85611,0.0006338,0.0006338,0.0006338
71,8726.38,1.74897,1.1282,0.96222,0.87679,0.89848,0.93109,0.49638,1.5623,0.83187,0.85193,0.000614,0.000614,0.000614
72,8847.54,1.75522,1.11748,0.96293,0.89282,0.89394,0.94003,0.50528,1.52788,0.85167,0.854,0.0005942,0.0005942,0.0005942
73,8969.81,1.73861,1.11953,0.96601,0.87689,0.875,0.92032,0.46137,1.62533,0.84856,0.85821,0.0005744,0.0005744,0.0005744
74,9101.81,1.73273,1.12396,0.96206,0.88429,0.88772,0.93405,0.52682,1.49043,0.82445,0.85119,0.0005546,0.0005546,0.0005546
75,9232.31,1.73174,1.09186,0.96023,0.88903,0.87626,0.93292,0.52506,1.54111,0.81482,0.85142,0.0005348,0.0005348,0.0005348
76,9363.86,1.7535,1.12009,0.96211,0.87927,0.89141,0.92405,0.49348,1.58345,0.8384,0.85012,0.000515,0.000515,0.000515
77,9494.06,1.73542,1.11064,0.95615,0.88643,0.89141,0.93031,0.52702,1.50396,0.8153,0.84678,0.0004952,0.0004952,0.0004952
78,9624.98,1.71147,1.11847,0.952,0.86185,0.90588,0.92107,0.51082,1.52165,0.81199,0.84444,0.0004754,0.0004754,0.0004754
79,9756.31,1.72175,1.10612,0.95675,0.859,0.89229,0.9208,0.50205,1.55268,0.84236,0.85035,0.0004556,0.0004556,0.0004556
80,9887.75,1.71039,1.08658,0.9513,0.86476,0.89615,0.92364,0.48595,1.61278,0.85231,0.85006,0.0004358,0.0004358,0.0004358
81,10016.9,1.70871,1.08748,0.95336,0.86621,0.91555,0.92874,0.51437,1.52671,0.82432,0.84798,0.000416,0.000416,0.000416
82,10140.7,1.71421,1.09432,0.95523,0.86999,0.91251,0.9426,0.52148,1.5292,0.8088,0.85026,0.0003962,0.0003962,0.0003962
83,10262.9,1.71438,1.07358,0.95467,0.87814,0.90075,0.93206,0.52107,1.50676,0.8205,0.84246,0.0003764,0.0003764,0.0003764
84,10384.5,1.68692,1.0633,0.9581,0.87759,0.89619,0.92643,0.47858,1.59986,0.83968,0.85133,0.0003566,0.0003566,0.0003566
85,10505.4,1.70459,1.07616,0.94727,0.86626,0.90657,0.93147,0.51821,1.4847,0.7964,0.84114,0.0003368,0.0003368,0.0003368
86,10627,1.70873,1.06771,0.95151,0.86785,0.89552,0.93115,0.51714,1.52773,0.80538,0.84571,0.000317,0.000317,0.000317
87,10748.3,1.67316,1.05247,0.94693,0.88078,0.89268,0.93964,0.51146,1.54041,0.81271,0.85002,0.0002972,0.0002972,0.0002972
88,10870,1.67761,1.07044,0.94584,0.86814,0.90909,0.93434,0.50919,1.53612,0.80108,0.84299,0.0002774,0.0002774,0.0002774
89,10990.8,1.68006,1.05448,0.94307,0.86633,0.89646,0.93754,0.50507,1.5778,0.81282,0.84786,0.0002576,0.0002576,0.0002576
90,11112,1.66732,1.04729,0.9405,0.86732,0.89143,0.93217,0.48194,1.61186,0.83185,0.84927,0.0002378,0.0002378,0.0002378
91,11233.9,1.44098,0.79869,0.92187,0.85558,0.90511,0.92727,0.48727,1.60165,0.82764,0.84796,0.000218,0.000218,0.000218
92,11354.9,1.41542,0.78061,0.92182,0.85505,0.90119,0.92728,0.48311,1.60037,0.8226,0.85149,0.0001982,0.0001982,0.0001982
93,11475.2,1.40181,0.77436,0.91506,0.85434,0.92045,0.92674,0.48813,1.58901,0.8146,0.84576,0.0001784,0.0001784,0.0001784
94,11596.1,1.39212,0.76528,0.9138,0.86203,0.89147,0.92736,0.48693,1.59914,0.82791,0.84789,0.0001586,0.0001586,0.0001586
95,11716.2,1.38273,0.76166,0.91254,0.84747,0.90657,0.92548,0.46313,1.67236,0.84377,0.85701,0.0001388,0.0001388,0.0001388
96,11837.2,1.39058,0.7678,0.91146,0.86933,0.88384,0.9266,0.46996,1.66199,0.83506,0.85579,0.000119,0.000119,0.000119
97,11957.4,1.36623,0.76511,0.91399,0.86313,0.89973,0.93095,0.49201,1.59625,0.81775,0.84833,9.92e-05,9.92e-05,9.92e-05
98,12078.3,1.34956,0.74382,0.90815,0.87289,0.89304,0.93256,0.5045,1.55963,0.8051,0.84565,7.94e-05,7.94e-05,7.94e-05
99,12198.2,1.37846,0.75744,0.90999,0.87153,0.89939,0.93212,0.51205,1.53904,0.80085,0.84234,5.96e-05,5.96e-05,5.96e-05
100,12319.1,1.33667,0.74738,0.90435,0.86648,0.90133,0.93025,0.49519,1.58831,0.80787,0.84745,3.98e-05,3.98e-05,3.98e-05
