epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,243.54,1.55535,1.38299,0.32387,0.48966,0.46212,0.40436,0.10601,0.88539,0.61204,0.06716,0.000663399,0.000663399,0.000663399
2,485.368,1.23435,0.48872,0.15615,0.3668,0.22348,0.19428,0.03821,1.22631,0.56116,0.11371,0.0013169,0.0013169,0.0013169
3,725.418,1.31142,0.4801,0.1793,0.06552,0.06313,0.00628,0.00077,1.27156,0.36434,0.20516,0.0019572,0.0019572,0.0019572
4,963.882,1.31986,0.46825,0.18176,0.53746,0.5303,0.41614,0.08459,0.92052,0.5734,0.09635,0.0019406,0.0019406,0.0019406
5,1202.31,1.39202,0.45938,0.20881,0.51168,0.54545,0.41958,0.09047,0.91702,0.53485,0.0811,0.0019208,0.0019208,0.0019208
6,1442.39,1.14565,0.51866,0.12719,0.73611,0.71717,0.6755,0.20706,0.74667,0.56954,0.05924,0.001901,0.001901,0.001901
7,1682.35,1.09399,0.51464,0.11663,0.76374,0.75758,0.72532,0.21204,0.75237,0.50514,0.06509,0.0018812,0.0018812,0.0018812
8,1922.33,1.05164,0.53451,0.11349,0.781,0.7298,0.71405,0.25303,0.74149,0.60329,0.05752,0.0018614,0.0018614,0.0018614
9,2162.18,1.05043,0.53573,0.1135,0.78697,0.7803,0.79292,0.29483,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,2402.26,1.01235,0.53226,0.10464,0.81052,0.79167,0.82824,0.30088,0.68042,0.52623,0.05108,0.0018218,0.0018218,0.0018218
11,2641.99,0.99334,0.52258,0.10576,0.87138,0.80429,0.87588,0.38412,0.59356,0.5216,0.04314,0.001802,0.001802,0.001802
12,2882.13,0.98863,0.54009,0.10001,0.83989,0.7702,0.81531,0.30527,0.67715,0.51618,0.05084,0.0017822,0.0017822,0.0017822
13,3121.61,0.97369,0.54167,0.10743,0.78964,0.69571,0.68766,0.1677,0.8254,0.48662,0.08788,0.0017624,0.0017624,0.0017624
