epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.678,3.36378,5.08178,1.51825,0.19391,0.19318,0.07317,0.01624,2.95261,10.6042,1.18834,0.000663399,0.000663399,0.000663399
2,277.788,2.93481,3.28179,1.30624,0.34659,0.37121,0.24817,0.06939,3.08042,6.77228,1.29698,0.0013169,0.0013169,0.0013169
3,416.931,2.8376,2.71157,1.29121,0.41539,0.42803,0.30868,0.07798,2.76082,3.82496,1.14174,0.0019572,0.0019572,0.0019572
4,555.751,2.75522,2.50779,1.2464,0.51257,0.57702,0.44075,0.12105,2.62012,2.1792,1.10455,0.0019406,0.0019406,0.0019406
5,694.3,2.63113,2.34481,1.22426,0.59484,0.56061,0.53797,0.15986,2.47706,1.82834,1.0541,0.0019208,0.0019208,0.0019208
6,832.657,2.61539,2.25564,1.21432,0.52057,0.44831,0.41182,0.13798,2.38216,2.22835,1.04938,0.001901,0.001901,0.001901
7,971.1,2.6089,2.19603,1.19976,0.56692,0.59343,0.53417,0.19573,2.26031,1.68407,1.00249,0.0018812,0.0018812,0.0018812
8,1109.46,2.54819,2.14242,1.18295,0.65421,0.58333,0.58318,0.17119,2.62935,1.67971,1.09487,0.0018614,0.0018614,0.0018614
9,1247.61,2.53302,2.08092,1.17618,0.59808,0.61364,0.57097,0.20636,2.26646,1.6136,0.99075,0.0018416,0.0018416,0.0018416
10,1386.12,2.47946,2.03763,1.16038,0.70904,0.6654,0.65684,0.19445,2.49871,1.61486,1.07341,0.0018218,0.0018218,0.0018218
11,1524.37,2.455,1.99672,1.16414,0.7001,0.6553,0.6896,0.28236,2.07411,1.38704,0.98146,0.001802,0.001802,0.001802
12,1662.79,2.43272,1.94852,1.15523,0.71885,0.62247,0.67655,0.26317,2.13128,1.49754,0.98417,0.0017822,0.0017822,0.0017822
13,1801.01,2.4285,1.98384,1.15588,0.72823,0.71465,0.70328,0.21825,2.34098,1.59887,1.01094,0.0017624,0.0017624,0.0017624
14,1939.15,2.40782,1.89399,1.15022,0.73326,0.7298,0.7572,0.28127,2.21054,1.30689,0.99297,0.0017426,0.0017426,0.0017426
15,2077.56,2.35814,1.8328,1.12694,0.81967,0.73611,0.76962,0.31234,2.07815,1.40213,0.96393,0.0017228,0.0017228,0.0017228
16,2215.96,2.37374,1.8214,1.13142,0.81074,0.70455,0.75888,0.27998,2.22687,1.38868,1.00477,0.001703,0.001703,0.001703
17,2353.82,2.32766,1.74362,1.12135,0.76787,0.72475,0.74117,0.2247,2.54636,1.35129,1.0718,0.0016832,0.0016832,0.0016832
18,2491.97,2.32452,1.78346,1.11909,0.80703,0.71717,0.78005,0.29092,2.18484,1.28276,0.98935,0.0016634,0.0016634,0.0016634
19,2630.26,2.31346,1.73685,1.12073,0.81044,0.76263,0.78685,0.25931,2.37414,1.30843,1.02565,0.0016436,0.0016436,0.0016436
20,2768.48,2.29955,1.72719,1.11729,0.76093,0.69527,0.72428,0.26769,2.13181,1.43456,0.95426,0.0016238,0.0016238,0.0016238
21,2906.67,2.308,1.74708,1.10827,0.86816,0.78986,0.84577,0.34849,2.11887,1.31095,0.95825,0.001604,0.001604,0.001604
22,3045.1,2.27299,1.70778,1.10372,0.84008,0.76276,0.80736,0.35532,2.02637,1.26001,0.9431,0.0015842,0.0015842,0.0015842
23,3183.35,2.26189,1.68808,1.08588,0.83227,0.80429,0.84238,0.33589,2.11439,1.27806,0.96946,0.0015644,0.0015644,0.0015644
