epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4173,3.56884,8.16939,1.58123,0.22999,0.14394,0.0803,0.01429,3.55615,3.38145,1.40506,0.000663399,0.000663399,0.000663399
2,112.257,2.89135,3.3693,1.27258,0.35291,0.44318,0.29062,0.07328,2.66201,2.35956,1.11661,0.0013169,0.0013169,0.0013169
3,165.432,2.79188,2.65426,1.25947,0.38063,0.37879,0.27523,0.05041,3.21979,2.0796,1.28857,0.0019572,0.0019572,0.0019572
4,219.641,2.69772,2.427,1.21214,0.45059,0.55051,0.4683,0.15675,2.3902,1.63132,1.01489,0.0019406,0.0019406,0.0019406
5,272.915,2.63216,2.27071,1.19467,0.49423,0.3952,0.39536,0.13364,2.69293,1.83732,1.04022,0.0019208,0.0019208,0.0019208
6,326.032,2.57257,2.16945,1.17837,0.46516,0.48737,0.41255,0.11966,2.42558,1.72018,0.99949,0.001901,0.001901,0.001901
7,380.106,2.53233,2.08783,1.15463,0.57586,0.49885,0.51909,0.21828,2.23453,1.6827,0.96591,0.0018812,0.0018812,0.0018812
8,434.174,2.48306,2.06238,1.14503,0.63629,0.5846,0.60464,0.2135,2.1748,1.50257,0.94951,0.0018614,0.0018614,0.0018614
9,487.702,2.4504,1.98196,1.13044,0.74259,0.65201,0.68173,0.20513,2.40529,1.57293,1.01235,0.0018416,0.0018416,0.0018416
10,541.24,2.43355,1.94574,1.1266,0.706,0.59722,0.64096,0.23692,2.35573,1.42101,1.00785,0.0018218,0.0018218,0.0018218
11,594.504,2.36839,1.88483,1.12404,0.78355,0.68182,0.73632,0.27911,2.18589,1.3663,0.96012,0.001802,0.001802,0.001802
12,646.964,2.40393,1.8764,1.12553,0.65444,0.56439,0.6072,0.22558,2.2013,1.49802,0.95309,0.0017822,0.0017822,0.0017822
13,699.943,2.36623,1.86417,1.1141,0.78944,0.64854,0.70563,0.25245,2.2914,1.47689,0.99389,0.0017624,0.0017624,0.0017624
14,751.794,2.35767,1.84878,1.11306,0.75797,0.66793,0.75938,0.22582,2.45557,1.3644,1.0126,0.0017426,0.0017426,0.0017426
15,804.308,2.31997,1.79103,1.09437,0.78748,0.69192,0.75768,0.30215,2.02193,1.29825,0.93898,0.0017228,0.0017228,0.0017228
16,856.692,2.29539,1.73427,1.08832,0.74893,0.71183,0.74895,0.27274,2.17521,1.33216,0.98272,0.001703,0.001703,0.001703
17,908.692,2.28269,1.6991,1.09152,0.79276,0.69949,0.75419,0.29652,2.03959,1.28721,0.92973,0.0016832,0.0016832,0.0016832
18,961.509,2.27897,1.70591,1.08558,0.7532,0.70581,0.75249,0.30364,2.12768,1.29854,0.94467,0.0016634,0.0016634,0.0016634
19,1014.08,2.28295,1.70737,1.08684,0.74743,0.65761,0.70735,0.28435,2.11353,1.31765,0.94318,0.0016436,0.0016436,0.0016436
20,1065.82,2.25835,1.69922,1.0821,0.7397,0.71338,0.75279,0.29956,2.03898,1.25116,0.93472,0.0016238,0.0016238,0.0016238
21,1117.88,2.23721,1.69159,1.07409,0.85157,0.64469,0.76819,0.29499,2.1188,1.30221,0.93731,0.001604,0.001604,0.001604
22,1169.81,2.23823,1.65216,1.0752,0.82366,0.76136,0.83526,0.3445,1.94873,1.21884,0.91354,0.0015842,0.0015842,0.0015842
23,1222.08,2.20656,1.61731,1.0588,0.77298,0.67928,0.7552,0.29288,1.99724,1.23963,0.92604,0.0015644,0.0015644,0.0015644
24,1274.39,2.18617,1.63511,1.06206,0.81138,0.73485,0.82437,0.37615,1.92974,1.1895,0.92444,0.0015446,0.0015446,0.0015446
25,1326.18,2.16198,1.57644,1.06036,0.85629,0.78157,0.85978,0.34617,2.08416,1.22079,0.94452,0.0015248,0.0015248,0.0015248
26,1378.94,2.18846,1.58485,1.0727,0.792,0.66827,0.72286,0.29115,2.03861,1.28358,0.9344,0.001505,0.001505,0.001505
27,1431.21,2.18247,1.55147,1.05958,0.80025,0.74874,0.80223,0.37998,1.83395,1.20005,0.89866,0.0014852,0.0014852,0.0014852
28,1483.05,2.15271,1.56114,1.05172,0.84712,0.80456,0.83426,0.35095,1.90906,1.1641,0.90698,0.0014654,0.0014654,0.0014654
29,1535.27,2.15854,1.55109,1.04965,0.84349,0.77399,0.83002,0.39445,1.8512,1.10915,0.90486,0.0014456,0.0014456,0.0014456
30,1587.19,2.13063,1.54128,1.05042,0.83329,0.82449,0.86922,0.40743,1.87239,1.14328,0.9111,0.0014258,0.0014258,0.0014258
